,city,lat,long
0,"Aberdeen, Scotland",57.15,-1.85
1,"Adelaide, Australia",-33.083333333333336,138.6
2,"Algiers, Algeria",36.833333333333336,3.0
3,"Amsterdam, Netherlands",52.36666666666667,4.883333333333333
4,"Ankara, Turkey",39.916666666666664,32.916666666666664
5,"Asuncin, Paraguay",-24.75,-56.333333333333336
6,"Athens, Greece",37.96666666666667,23.716666666666665
7,"Auckland, New Zealand",-35.13333333333333,174.75
8,"Bangkok, Thailand",13.75,100.5
9,"Barcelona, Spain",41.38333333333333,2.15
10,"Beijing, China",39.916666666666664,116.41666666666667
11,"Belm, Brazil",-0.5333333333333333,-47.516666666666666
12,"Belfast, Northern Ireland",54.61666666666667,-4.066666666666666
13,"Belgrade, Serbia",44.86666666666667,20.533333333333335
14,"Berlin, Germany",52.5,13.416666666666666
15,"Birmingham, England",52.416666666666664,-0.08333333333333337
16,"Bogot, Colombia",4.533333333333333,-73.75
17,"Bombay, India",19.0,72.8
18,"Bordeaux, France",44.833333333333336,0.5166666666666667
19,"Bremen, Germany",53.083333333333336,8.816666666666666
20,"Brisbane, Australia",-26.516666666666666,153.13333333333333
21,"Bristol, England",51.46666666666667,-1.4166666666666665
22,"Brussels, Belgium",50.86666666666667,4.366666666666666
23,"Bucharest, Romania",44.416666666666664,26.116666666666667
24,"Budapest, Hungary",47.5,19.083333333333332
25,"Buenos Aires, Argentina",-33.416666666666664,-57.63333333333333
26,"Cairo, Egypt",30.033333333333335,31.35
27,"Calcutta, India",22.566666666666666,88.4
28,"Canton, China",23.116666666666667,113.25
29,"Cape Town, South Africa",-32.083333333333336,18.366666666666667
30,"Caracas, Venezuela",10.466666666666667,-66.96666666666667
31,"Cayenne, French Guiana",4.816666666666666,-51.7
32,"Chihuahua, Mexico",28.616666666666667,-105.91666666666667
33,"Chongqing, China",29.766666666666666,106.56666666666666
34,"Copenhagen, Denmark",55.666666666666664,12.566666666666666
35,"Crdoba, Argentina",-30.533333333333335,-63.833333333333336
36,"Dakar, Senegal",14.666666666666666,-16.533333333333335
37,"Darwin, Australia",-11.533333333333333,130.85
38,"Djibouti, Djibouti",11.5,43.05
39,"Dublin, Ireland",53.333333333333336,-5.75
40,"Durban, South Africa",-28.116666666666667,30.883333333333333
41,"Edinburgh, Scotland",55.916666666666664,-2.8333333333333335
42,"Frankfurt, Germany",50.11666666666667,8.683333333333334
43,"Georgetown, Guyana",6.75,-57.75
44,"Glasgow, Scotland",55.833333333333336,-3.75
45,"Guatemala City, Guatemala",14.616666666666667,-89.48333333333333
46,"Guayaquil, Ecuador",-1.8333333333333333,-78.06666666666666
47,"Hamburg, Germany",53.55,10.033333333333333
48,"Hammerfest, Norway",70.63333333333334,23.633333333333333
49,"Havana, Cuba",23.133333333333333,-81.61666666666666
50,"Helsinki, Finland",60.166666666666664,25.0
51,"Hobart, Tasmania",-41.13333333333333,147.31666666666666
52,"Hong Kong, China",22.333333333333332,114.18333333333334
53,"Iquique, Chile",-19.833333333333332,-69.88333333333334
54,"Irkutsk, Russia",52.5,104.33333333333333
55,"Jakarta, Indonesia",-5.733333333333333,106.8
56,"Johannesburg, South Africa",-25.8,28.066666666666666
57,"Kingston, Jamaica",17.983333333333334,-75.18333333333334
58,"Kinshasa, Congo",-3.7,15.283333333333333
59,"Kuala Lumpur, Malaysia",3.1333333333333333,101.7
60,"La Paz, Bolivia",-15.55,-67.63333333333334
61,"Leeds, England",53.75,-0.5
62,"Lima, Peru",-12.0,-76.96666666666667
63,"Lisbon, Portugal",38.733333333333334,-8.85
64,"Liverpool, England",53.416666666666664,-3.0
65,"London, England",51.53333333333333,0.08333333333333333
66,"Lyons, France",45.75,4.833333333333333
67,"Madrid, Spain",40.43333333333333,-2.3
68,"Manchester, England",53.5,-1.75
69,"Manila, Philippines",14.583333333333334,120.95
70,"Marseilles, France",43.333333333333336,5.333333333333333
71,"Mazatln, Mexico",23.2,-105.58333333333333
72,"Mecca, Saudi Arabia",21.483333333333334,39.75
73,"Melbourne, Australia",-36.21666666666667,144.96666666666667
74,"Mexico City, Mexico",19.433333333333334,-98.88333333333334
75,"Milan, Italy",45.45,9.166666666666666
76,"Montevideo, Uruguay",-33.11666666666667,-55.833333333333336
77,"Moscow, Russia",55.75,37.6
78,"Munich, Germany",48.13333333333333,11.583333333333334
79,"Nagasaki, Japan",32.8,129.95
80,"Nagoya, Japan",35.11666666666667,136.93333333333334
81,"Nairobi, Kenya",-0.5833333333333333,36.916666666666664
82,"Nanjing (Nanking), China",32.05,118.88333333333334
83,"Naples, Italy",40.833333333333336,14.25
84,"New Delhi, India",28.583333333333332,77.2
85,"Newcastle-on-Tyne, England",54.96666666666667,-0.3833333333333333
86,"Odessa, Ukraine",46.45,30.8
87,"Osaka, Japan",34.53333333333333,135.5
88,"Oslo, Norway",59.95,10.7
89,"Panama City, Panama",8.966666666666667,-78.46666666666667
90,"Paramaribo, Suriname",5.75,-54.75
91,"Paris, France",48.8,2.3333333333333335
92,"Perth, Australia",-30.05,115.86666666666666
93,"Plymouth, England",50.416666666666664,-3.9166666666666665
94,"Port Moresby, Papua New Guinea",-8.583333333333334,147.13333333333333
95,"Prague, Czech Republic",50.083333333333336,14.433333333333334
96,"Rangoon, Myanmar",16.833333333333332,96.0
97,"Reykjavk, Iceland",64.06666666666666,-20.033333333333335
98,"Rio de Janeiro, Brazil",-21.05,-42.8
99,"Rome, Italy",41.9,12.45
100,"Salvador, Brazil",-11.066666666666666,-37.55
101,"Santiago, Chile",-32.53333333333333,-69.25
102,"St. Petersburg, Russia",59.93333333333333,30.3
103,"So Paulo, Brazil",-22.483333333333334,-45.483333333333334
104,"Shanghai, China",31.166666666666668,121.46666666666667
105,"Singapore, Singapore",1.2333333333333334,103.91666666666667
106,"Sofia, Bulgaria",42.666666666666664,23.333333333333332
107,"Stockholm, Sweden",59.28333333333333,18.05
108,"Sydney, Australia",-34.0,151.0
109,"Tananarive, Madagascar",-17.166666666666668,47.55
110,"Teheran, Iran",35.75,51.75
111,"Tokyo, Japan",35.666666666666664,139.75
112,"Tripoli, Libya",32.95,13.2
113,"Venice, Italy",45.43333333333333,12.333333333333334
114,"Veracruz, Mexico",19.166666666666668,-95.83333333333333
115,"Vienna, Austria",48.233333333333334,16.333333333333332
116,"Vladivostok, Russia",43.166666666666664,132.0
117,"Warsaw, Poland",52.233333333333334,21.0
118,"Wellington, New Zealand",-40.71666666666667,174.78333333333333
119,"Zrich, Switzerland",47.35,8.516666666666667
